name,category_name (for reference),category_id (replace with UUID after importing categories),rack_name (for reference),rack_id (replace with UUID after importing racks),godown_id (replace with UUID),unit_of_measure,minimum_stock_level,is_active
TIGER BADAM MIX,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
TIGER PISTA MIX,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
ROSE WHITE,Essences & Flavoring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
CARDAMOM ESSENCE,Essences & Flavoring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
ROSE MILK,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
YELLOW CANEL COW,Food Coloring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
SUPER RED,Food Coloring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
RAINBOW TAPPING,Food Coloring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
RAINBOW SMALL TAPPING,Food Coloring,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
CHOCOLATE SYRUP,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
STRAWBERRY SYRUP BIG,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,3.0,true
STRAWBERRY SYRUP SMALL,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
CARAMEL SYRUP,Syrups & Concentrates,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,2.0,true
BIG GARLIC,Fresh Vegetables,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
COCONUT,Fresh Ingredients,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
SMALL GARLIC,Fresh Vegetables,REPLACE_WITH_CATEGORY_UUID,Rack-8,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
ATTA,Flour & Semolina,REPLACE_WITH_CATEGORY_UUID,Rack-9,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,25.0,true
CORN FLOUR,Flour & Semolina,REPLACE_WITH_CATEGORY_UUID,Rack-9,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
BASAN FLOUR,Flour & Semolina,REPLACE_WITH_CATEGORY_UUID,Rack-9,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
RICE FLOUR,Flour & Semolina,REPLACE_WITH_CATEGORY_UUID,Rack-9,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
MAIDA,Flour & Semolina,REPLACE_WITH_CATEGORY_UUID,Rack-9,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,20.0,true
SODA,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-9,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,10.0,true
77 UP,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-9,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
WATER BOTTLE,Beverages,REPLACE_WITH_CATEGORY_UUID,Rack-9,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,50.0,true
